GameReviewsId,GameId,positiveRatings,negativeRatings
1,10,124534,3339
2,20,3318,633
3,30,3416,398
4,40,1273,267
5,50,5250,288
6,60,2758,684
7,70,27755,1100
8,80,12120,1439
9,130,3822,420
10,220,67902,2419
11,240,76640,3497
12,280,3767,1053
13,300,10489,1210
14,320,6020,787
15,340,5783,1020
16,360,1362,473
17,380,7908,517
18,400,51801,1080
19,420,13902,696
20,440,515879,34036
21,500,17951,948
22,550,251789,8418
23,570,863507,142079
24,620,138220,1891
25,630,17435,941
26,730,2644404,402313
27,1002,40,17
28,1200,1562,223
29,1250,53710,2649
30,1300,468,61
31,1500,472,158
32,1510,1602,152
33,1520,2057,344
34,1530,368,75
35,1600,140,44
36,1610,112,26
37,1630,451,108
38,1640,490,152
39,1670,137,102
40,1690,191,85
41,1700,671,106
42,1840,15083,1111
43,1900,498,238
44,1930,2656,1055
45,2100,4386,316
46,2200,1362,66
47,2210,891,171
48,2270,1773,87
49,2280,3705,257
50,2290,573,82
51,2300,2517,182
52,2310,2618,136
53,2320,1369,107
54,2330,65,12
55,2340,54,33
56,2350,108,31
57,2360,249,26
58,2370,57,20
59,2390,417,29
60,2400,4819,792
61,2450,662,204
62,2500,973,248
63,2520,52,46
64,2590,610,523
65,2600,6161,362
66,2610,740,87
67,2620,1555,117
68,2630,2434,236
69,2640,490,97
70,2710,180,33
71,2720,31,9
72,2780,145,77
73,2800,212,50
74,2810,282,113
75,2820,1633,272
76,2840,142,48
77,2850,57,18
78,2870,2832,4032
79,2900,52,17
80,2910,127,31
81,2920,33,14
82,2990,5438,343
83,3010,139,39
84,3020,793,198
85,3050,71,36
86,3130,294,69
87,3170,482,53
88,3230,30,94
89,3260,256,172
90,3270,429,137
91,3330,437,37
92,3410,71,28
93,3480,1106,66
94,3483,707,58
95,3490,10,2
96,3500,10,3
97,3510,21,8
98,3520,11,5
99,3530,23,7
100,3540,368,24
101,3560,98,18
102,3570,8,5
103,3580,15,3
104,3590,14630,454
105,3600,97,57
106,3610,8,3
107,3620,435,28
108,3700,1181,377
109,3710,559,79
110,3720,1847,95
111,3730,1434,219
112,3800,260,71
113,3810,369,110
114,3820,259,103
115,3830,8204,456
116,3900,1394,129
117,3910,2578,405
118,3920,2641,193
119,3960,39,49
120,3980,184,65
121,3990,121,20
122,4000,363721,16433
123,4100,4,5
124,4230,119,43
125,4290,4,2
126,4300,43,14
