GDId,GameId,DeveloperId
1,214610,1
2,333220,1
3,459540,1
4,411330,2
5,33670,7
6,200670,7
7,296070,11
8,464440,11
9,233980,14
10,463270,14
11,344500,17
12,338180,19
13,454320,20
14,223450,21
15,459830,24
16,310360,25
17,406550,25
18,410890,25
19,472870,25
20,462620,26
21,434140,27
22,454250,30
23,488350,32
24,286360,35
25,378630,35
26,262830,36
27,370550,36
28,394290,36
29,428750,36
30,460220,36
31,333990,37
32,91200,38
33,236730,38
34,251530,38
35,252170,38
36,282070,38
37,294750,38
38,323190,38
39,407830,41
40,355630,44
41,464650,45
42,391400,47
43,38420,49
44,355380,50
45,453950,51
46,428950,54
47,473560,54
48,228960,55
49,300580,55
50,448610,56
51,454230,57
52,511790,58
53,389250,62
54,3130,63
55,25900,63
56,46290,63
57,46340,63
58,46360,63
59,63940,63
60,63960,63
61,289360,63
62,289380,63
63,289420,63
64,307960,64
65,336760,65
66,336770,65
67,336780,65
68,15320,66
69,25850,67
70,25980,67
71,42930,67
72,42940,67
73,42950,67
74,200230,68
75,425340,69
76,203350,70
77,204860,70
78,289520,70
79,464000,73
80,464020,73
81,392100,74
82,497400,75
83,368570,76
84,487000,77
85,307150,78
86,428440,80
87,422420,84
88,327010,86
89,394430,89
90,437340,93
91,370540,94
92,431540,95
93,22000,97
94,425160,98
95,464530,98
96,257120,99
97,414810,99
98,287860,100
99,390910,100
100,11360,101
101,487420,103
102,261640,107
103,409710,107
104,409720,107
105,409710,108
106,409720,109
107,50130,110
108,65930,111
109,409720,111
110,502380,114
111,257750,115
112,315060,116
113,340200,116
114,218090,119
115,499900,122
116,455830,123
117,207250,125
118,228440,125
119,250560,125
120,455400,125
121,292380,126
122,36900,128
123,36910,128
124,267220,128
125,285670,128
126,345580,128
127,444440,130
128,384960,132
129,277430,133
130,324570,133
131,459220,133
132,402390,134
133,467570,134
134,102500,135
135,398260,137
136,420360,139
137,358390,142
138,358210,143
139,358230,143
140,358250,143
141,358260,143
142,358300,143
143,358320,143
144,358350,143
145,358410,143
146,449510,145
147,417480,147
148,428830,147
149,431300,147
150,486120,147
151,438450,148
152,95900,151
153,214910,151
154,386400,151
155,423490,151
156,270570,152
157,281060,152
158,492200,154
159,433490,161
160,413480,164
161,39650,168
162,39660,168
163,353130,169
164,286660,171
165,27200,172
166,286690,174
167,287390,174
168,424610,175
169,348280,176
170,401510,178
171,398620,180
172,299340,182
173,18480,184
174,39520,184
175,402910,186
176,407700,187
177,340960,188
178,319430,189
179,60700,190
180,435360,192
181,284460,193
182,268870,194
183,236010,196
184,218680,202
185,249870,202
186,432020,205
187,470600,205
188,510180,210
189,503160,214
190,467220,215
191,496990,215
192,451230,216
193,360880,217
194,356170,218
195,244050,220
196,307960,220
197,473740,221
198,498680,224
